,STATE,VE_TOTAL,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,DAY_WEEK,ROUTE,MAN_COLL,RELJCT1,RELJCT2,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR,HARM_EV_RED,HR_RANGE
1745,5,2,0,0,0,2,2,5,2,2,0,2,0,1,2,1,1,1,1,6
1746,5,2,0,0,0,2,2,6,1,2,1,20,0,1,2,1,2,1,1,6
1747,5,2,0,0,0,2,2,7,2,2,0,1,0,1,2,1,1,1,1,1
1748,5,1,0,0,0,1,1,7,2,0,0,1,0,4,2,1,1,1,0,2
1749,5,6,0,0,0,8,8,7,2,1,0,3,0,1,2,1,1,1,1,6
1750,5,1,0,0,0,1,1,1,2,0,0,3,0,4,1,1,1,1,5,4
1751,5,2,0,0,0,2,2,3,2,7,0,1,0,1,1,1,1,0,1,3
1752,5,2,0,0,0,4,4,3,6,6,0,2,0,1,1,1,1,0,1,5
1753,5,1,0,0,0,1,1,4,6,0,0,1,0,4,1,1,1,0,6,2
1754,5,2,0,0,0,2,2,4,2,6,0,8,0,1,1,1,1,0,1,4
1755,5,1,0,0,0,1,1,5,3,0,0,1,0,4,1,1,1,1,5,4
1756,5,1,0,0,0,1,1,7,4,0,0,1,0,5,2,1,1,0,6,1
1757,5,3,0,0,0,3,3,1,1,1,0,1,0,1,2,1,1,0,1,1
1758,5,1,0,0,0,1,1,1,4,0,0,1,0,5,1,1,1,0,6,4
1759,5,2,0,0,0,6,6,2,2,2,0,1,0,1,1,1,1,0,1,3
1760,5,2,0,0,0,2,2,3,2,6,0,2,0,1,1,1,1,0,1,3
1761,5,1,0,0,0,1,1,4,2,0,0,1,0,5,1,10,1,0,6,2
1762,5,1,0,1,1,1,1,5,3,0,0,1,0,1,2,5,1,0,3,2
1763,5,1,0,0,0,1,1,5,3,0,0,1,0,4,1,1,1,0,1,4
1764,5,1,0,0,0,3,3,5,1,0,0,1,0,3,1,1,1,0,0,4
1765,5,1,0,0,0,1,1,6,3,0,0,1,0,4,2,1,1,1,6,6
1766,5,1,0,0,0,1,1,7,3,0,0,1,0,4,1,1,1,1,5,4
1767,5,3,1,2,2,4,4,3,6,1,0,1,0,1,1,1,1,0,1,5
1768,5,5,0,0,0,5,5,4,1,7,0,1,0,1,1,1,1,0,1,2
1769,5,1,0,0,0,2,2,4,4,0,0,1,0,4,1,1,1,1,1,4
1770,5,2,0,0,0,2,2,5,3,6,0,4,0,1,1,1,1,0,1,4
1771,5,1,0,0,0,2,2,5,2,0,0,1,0,4,1,1,1,0,0,5
1772,5,1,0,0,0,1,1,6,3,0,0,1,0,5,1,1,1,1,6,4
1773,5,2,0,0,0,2,2,1,3,6,0,1,0,1,1,2,1,0,1,4
1774,5,2,0,0,0,3,3,1,3,6,0,8,0,1,2,1,2,2,1,5
1775,5,2,0,0,0,4,4,2,2,1,0,1,0,1,1,1,1,0,1,2
1776,5,1,0,1,1,1,1,4,6,0,0,1,0,1,2,1,1,0,3,6
1777,5,2,0,0,0,2,2,5,2,6,0,2,0,1,1,1,1,0,1,2
1778,5,1,0,0,0,1,1,5,3,0,0,3,0,4,2,1,1,0,5,6
1779,5,3,0,0,0,3,3,6,2,2,0,1,0,1,2,1,1,0,1,2
1780,5,1,0,2,2,1,1,7,2,0,0,1,0,1,2,1,1,0,3,1
1781,5,1,0,0,0,2,2,7,2,0,0,1,0,3,1,10,1,0,6,4
1782,5,1,0,0,0,1,1,1,2,0,0,1,0,1,1,10,1,0,0,5
1783,5,2,0,0,0,3,3,2,2,2,0,1,0,1,2,1,2,0,1,2
1784,5,3,1,0,0,4,4,2,3,6,0,1,0,1,1,1,1,0,1,3
